optimization asset expiry alpha error
Smart wells 10.002739726 1.5354450810242668 0.0061594346551367305
Smart dell 0.0191780822 0.9287115393933295 0.05518884250478696
Smart dell 0.0849315068 1.0605270850760702 0.02283004708358485
Smart dell 0.1616438356 1.0966338843929078 0.010722979720526705
Smart dell 0.2383561644 1.1076760263691436 0.005098093695447051
Smart dell 0.4904109589 1.1067828350790336 8.406642395426437E-4
Smart dell 0.7479452055 1.1138508613150522 0.0010216207270376907
Smart dell 1.0 1.1318928255612046 9.5141722170836E-4
Smart dell 1.495890411 1.1723176402436728 0.0013478115828711346
Smart dell 2.0 1.190606715863151 0.0016100891137007132
Smart dell 3.0 1.2023031413957301 0.001879129452820632
Smart dell 4.0 1.2024821891352528 0.002014928130665454
Smart dell 4.997260274 1.1984535642104928 0.002101534536302357
Smart dell 7.002739726 1.1856711022075814 0.002207030851273119
Smart dell 10.002739726 1.1635716362571917 0.0022980090363292427
DE-20 1 0.057534247 12.151919214531246 0.0019093165170448695
DE-20 1 0.153424658 11.49639670963937 0.0017627500552942464
DE-20 1 0.230136986 11.469001860800851 0.0015623938359921427
DE-20 1 0.479452055 11.39027377779433 0.0011220675888339799
DE-20 1 0.728767123 11.439217689245998 8.925577060666918E-4
DE-20 1 1.22739726 11.528667812287114 6.884649172897279E-4
DE-20 1 1.726027397 11.52377565086102 5.457914177432384E-4
DE-20 1 2.243835616 11.528456876843846 4.548752906012681E-4
DE-20 1 2.742465753 11.482368804091042 3.949703193694909E-4
DE-20 1 3.24109589 11.474692276223179 3.5214959999391155E-4
DE-20 1 4.238356164 11.435528954082654 2.954636192425918E-4
DE-20 sp500 0.0191780822 6.854842699720799 0.03124225419596351
DE-20 sp500 0.0849315068 6.25962684503299 0.01643570345679099
DE-20 sp500 0.1616438356 6.102214736974741 0.012048549353809026
DE-20 sp500 0.2383561644 6.185990438001865 0.012718396040479845
DE-20 sp500 0.4904109589 6.446584675396419 0.013271433730395755
DE-20 sp500 0.7479452055 6.73174469839767 0.012111706193287428
DE-20 sp500 1.0 6.934433997507446 0.010489024743336888
DE-20 sp500 1.495890411 7.350077150776527 0.006845591222728017
DE-20 sp500 2.0 7.666359136403085 0.0048182117125309416
DE-20 sp500 3.0 8.210694441074716 0.0034492334066120547
DE-20 sp500 4.0 8.506244707221576 0.0027426961569070483
DE-20 sp500 4.997260274 8.663254046241308 0.0023644107408238315
DE-20 sp500 7.002739726 23.012035689174905 0.00835395080621282
DE-20 sp500 10.002739726 9.752969985319822 0.002080139572535949
DE-20 euro50 0.0191780822 9.694516644229193 0.02953662692834169
DE-20 euro50 0.0849315068 9.137777117745305 0.013503916108903226
DE-20 euro50 0.1616438356 9.151456669817312 0.006578088068624748
DE-20 euro50 0.2383561644 9.52421083904167 0.005049490070313556
DE-20 euro50 0.4904109589 10.171191977580852 0.004345763969999126
DE-20 euro50 0.7479452055 10.707917592915312 0.0041800900904954115
DE-20 euro50 0.997260274 11.100800272643891 0.00384084487100223
DE-20 euro50 1.495890411 11.482311387638996 0.0033817161743717127
DE-20 euro50 1.997260274 11.610584731805675 0.002859849600537365
DE-20 euro50 2.997260274 11.658534983797168 0.0021604500687111942
DE-20 euro50 4.0 11.652873919680717 0.0017717021643690852
DE-20 euro50 4.997260274 37.08162242194646 0.014834300683090369
DE-20 euro50 7.0 32.876640981726915 0.012424774086816436
DE-20 euro50 10.002739726 11.518127088693824 0.0013297198189654576
DE-20 msci 0.0191780822 1.8182093261211794 0.05683467356503211
DE-20 msci 0.0849315068 1.6671382030220738 0.016272393667944057
DE-20 msci 0.1616438356 1.6492984602925682 0.008119544114846805
DE-20 msci 0.2383561644 1.6697352765925515 0.01633527736493612
DE-20 msci 0.4904109589 1.6347947415107618 0.016006400086196065
DE-20 msci 0.7479452055 1.7636581284132482 0.010984687831954823
DE-20 msci 1.0 1.8215335380372952 0.00871192566892442
DE-20 msci 1.495890411 1.7208838153734174 0.006316074399846434
DE-20 msci 2.0 1.655465981851894 0.004912920792871384
DE-20 msci 3.0 1.5790441739785324 0.0034970362842371918
DE-20 msci 4.0 1.53881713588962 0.0029696431001841866
DE-20 msci 4.997260274 4.926113208639329 0.009313534103043718
DE-20 msci 7.002739726 4.339306735318467 0.006909968781310772
DE-20 msci 10.002739726 1.4700191094907744 0.0028693358746944638
DE-20 bnp 0.0191780822 1.9936452134006757 0.03596329933583289
DE-20 bnp 0.0849315068 1.9638996631534311 0.011613090299596996
DE-20 bnp 0.1616438356 1.9777562856420077 0.0042830486115530055
DE-20 bnp 0.2383561644 1.9991445626696163 0.004085916060205233
DE-20 bnp 0.4904109589 2.025469904105815 0.004779329435249565
DE-20 bnp 0.7479452055 2.102426270392915 0.003480402644243273
DE-20 bnp 1.0 2.174756039044344 0.004413379070551117
DE-20 bnp 1.495890411 2.2166614844961456 0.005437157910870065
DE-20 bnp 2.0 2.2402817278947973 0.004733855123078861
DE-20 bnp 3.0 2.3701195960025476 0.0026910729927321
DE-20 bnp 4.0 2.4105602395775554 0.0017103275331177257
DE-20 bnp 4.997260274 2.420195674407358 0.0013224739255572086
DE-20 bnp 7.002739726 2.410787843535991 0.0012527408501509763
