Method Strike Volatility
Levenberg-Marquardt-40 0.0121612325 0.006099310863220817
Explicit-40 0.012511232500000002 0.005947470690796194
Levenberg-Marquardt-40 0.012511232500000002 0.006120906941041938
Explicit-40 0.0128612325 0.005985571582622448
Levenberg-Marquardt-40 0.0128612325 0.006146365006750853
Explicit-40 0.013211232500000001 0.006027898212817461
Levenberg-Marquardt-40 0.013211232500000001 0.006175600451000063
Explicit-40 0.013561232500000001 0.00607446689837111
Levenberg-Marquardt-40 0.013561232500000001 0.0062087779731800135
Explicit-40 0.0139112325 0.006125208655796896
Levenberg-Marquardt-40 0.0139112325 0.006245953586448503
Explicit-40 0.014261232500000002 0.006180218769147663
Levenberg-Marquardt-40 0.014261232500000002 0.006287153081173958
Explicit-40 0.014611232500000002 0.006239252325823364
Levenberg-Marquardt-40 0.014611232500000002 0.006332371744655106
Explicit-40 0.0149612325 0.006302249787009415
Levenberg-Marquardt-40 0.0149612325 0.006381575786084431
Explicit-40 0.0153112325 0.006369089563407948
Levenberg-Marquardt-40 0.0153112325 0.00643470579600282
Explicit-40 0.0156612325 0.006439601501463206
Levenberg-Marquardt-40 0.0156612325 0.006491679121627434
Explicit-40 0.0160112325 0.006513584559443738
Levenberg-Marquardt-40 0.0160112325 0.006552376225926363
Explicit-40 0.016361232500000003 0.006590881270160359
Levenberg-Marquardt-40 0.016361232500000003 0.006616647379353727
Explicit-40 0.0167112325 0.006671186727214611
Levenberg-Marquardt-40 0.0167112325 0.0066843687375280625
Explicit-40 0.017061232500000002 0.006754541200020613
Levenberg-Marquardt-40 0.017061232500000002 0.006755349505346795
Explicit-40 0.017411232500000002 0.006840509161837282
Levenberg-Marquardt-40 0.017411232500000002 0.006829435873330623
Explicit-40 0.0177612325 0.0069289626871426755
Levenberg-Marquardt-40 0.0177612325 0.006906434836506876
Explicit-40 0.0181112325 0.007019704408937876
Levenberg-Marquardt-40 0.0181112325 0.006986165938018614
Explicit-40 0.0184612325 0.00711254288148878
Levenberg-Marquardt-40 0.0184612325 0.007068449753835473
Explicit-40 0.0188112325 0.0072072988866185425
Levenberg-Marquardt-40 0.0188112325 0.007153101247255168
Explicit-40 0.0191612325 0.007303806251582679
Levenberg-Marquardt-40 0.0191612325 0.007239914225007344
Explicit-40 0.0195112325 0.007401845694197413
Levenberg-Marquardt-40 0.0195112325 0.0073288084267647555
Explicit-40 0.019861232500000003 0.007501412823471753
Levenberg-Marquardt-40 0.019861232500000003 0.007419538738027845
Explicit-40 0.020211232500000002 0.007602214009003776
Levenberg-Marquardt-40 0.020211232500000002 0.007511962588863979
Explicit-40 0.020561232500000002 0.007704169869269593
Levenberg-Marquardt-40 0.020561232500000002 0.007605950545863927
Explicit-40 0.0209112325 0.00780720964840601
Levenberg-Marquardt-40 0.0209112325 0.007701306068694549
Explicit-40 0.0212612325 0.007911157010841219
Levenberg-Marquardt-40 0.0212612325 0.007798058558892694
Explicit-40 0.021611232500000004 0.008015931382819537
Levenberg-Marquardt-40 0.021611232500000004 0.007895920229281981
Explicit-40 0.0219612325 0.008121438650916735
Levenberg-Marquardt-40 0.0219612325 0.007994840689711173
Explicit-40 0.0223112325 0.00822754927389481
Levenberg-Marquardt-40 0.0223112325 0.008094722222445337
Explicit-40 0.022661232500000003 0.008334321123102301
Levenberg-Marquardt-40 0.022661232500000003 0.008195469191924902
Explicit-40 0.023011232500000003 0.008441581933759955
Levenberg-Marquardt-40 0.023011232500000003 0.008296995253517937
Explicit-40 0.023361232500000002 0.008549249953765388
Levenberg-Marquardt-40 0.023361232500000002 0.00839922256519551
Explicit-40 0.023711232500000002 0.008657315322784558
Levenberg-Marquardt-40 0.023711232500000002 0.008502070153650947
Explicit-40 0.024061232500000005 0.008765712357746437
Levenberg-Marquardt-40 0.024061232500000005 0.00860543890287841
Explicit-40 0.0244112325 0.008874390061787387
Levenberg-Marquardt-40 0.0244112325 0.008709332622381867
Explicit-40 0.0247612325 0.008983277075387465
Levenberg-Marquardt-40 0.0247612325 0.008813666584789142
Explicit-40 0.025111232500000004 0.009092421222893539
Levenberg-Marquardt-40 0.025111232500000004 0.008918351438411683
Explicit-40 0.0254612325 0.00920169300466803
Levenberg-Marquardt-40 0.0254612325 0.009023407530214918
Explicit-40 0.025811232500000003 0.009311076142437216
Levenberg-Marquardt-40 0.025811232500000003 0.009128741801450747
Explicit-40 0.026161232500000003 0.00942056599874078
Levenberg-Marquardt-40 0.026161232500000003 0.009234305118440601
Explicit-40 0.0265112325 0.00953013985153223
Levenberg-Marquardt-40 0.0265112325 0.00934013714442519
Explicit-40 0.026861232500000002 0.0096397682762025
Levenberg-Marquardt-40 0.026861232500000002 0.009446142968482148
Explicit-40 0.0272112325 0.009749424001022489
Levenberg-Marquardt-40 0.0272112325 0.009552279515039324
Explicit-40 0.0275612325 0.009859086960062794
Levenberg-Marquardt-40 0.0275612325 0.00965854241365213
Explicit-40 0.0279112325 0.00996874473750786
Levenberg-Marquardt-40 0.0279112325 0.00976491384655901
Explicit-40 0.028261232500000004 0.010078388243869717
Levenberg-Marquardt-40 0.028261232500000004 0.009871371093168326
Explicit-40 0.028611232500000004 0.01018800319762646
Levenberg-Marquardt-40 0.028611232500000004 0.009977892505830836
Explicit-40 0.028961232500000003 0.01029755869528763
Levenberg-Marquardt-40 0.028961232500000003 0.010084460110448272
Explicit-40 0.029311232500000003 0.010406994685685539
Levenberg-Marquardt-40 0.029311232500000003 0.010191058479531181
Explicit-40 0.029661232500000006 0.010516372610825568
Levenberg-Marquardt-40 0.029661232500000006 0.010297670069125556
Explicit-40 0.030011232500000002 0.010625731288010348
Levenberg-Marquardt-40 0.030011232500000002 0.01040426776480915
Explicit-40 0.0303612325 0.010734942042274601
Levenberg-Marquardt-40 0.0303612325 0.010510805857868758
Explicit-40 0.030711232500000005 0.010844021835313753
Levenberg-Marquardt-40 0.030711232500000005 0.010617322463066183
Explicit-40 0.0310612325 0.0109530889562764
Levenberg-Marquardt-40 0.0310612325 0.010723855555465381
Explicit-40 0.031411232500000004 0.011061910801524445
Levenberg-Marquardt-40 0.031411232500000004 0.010830322160333491
Explicit-40 0.0317612325 0.011170747503798694
Levenberg-Marquardt-40 0.0317612325 0.010936649661904664
Explicit-40 0.0321112325 0.011279328682171732
Levenberg-Marquardt-40 0.0321112325 0.011043012927448444
Explicit-40 0.032461232500000006 0.01138791368362359
Levenberg-Marquardt-40 0.032461232500000006 0.011149248790998632
Explicit-40 0.0328112325 0.011496223032144665
Levenberg-Marquardt-40 0.0328112325 0.011255389755133804
Explicit-40 0.0331612325 0.01160454642057483
Levenberg-Marquardt-40 0.0331612325 0.011361503364297266
Explicit-40 0.0335112325 0.011712592495486571
Levenberg-Marquardt-40 0.0335112325 0.011467432302279798
Explicit-40 0.033861232500000005 0.011820550025368895
Levenberg-Marquardt-40 0.033861232500000005 0.011573361677694394
Explicit-40 0.0342112325 0.01192841873522081
Levenberg-Marquardt-40 0.0342112325 0.011679097885708893
Explicit-40 0.0345612325 0.012036018077056307
Levenberg-Marquardt-40 0.0345612325 0.011784780804470318
Explicit-40 0.0349112325 0.012143525497001212
Levenberg-Marquardt-40 0.0349112325 0.011890355688000646
Explicit-40 0.0352612325 0.012250970353015308
Levenberg-Marquardt-40 0.0352612325 0.011995742067563528
Explicit-40 0.0356112325 0.012358139280297805
Levenberg-Marquardt-40 0.0356112325 0.012101145324521435
Explicit-40 0.0359612325 0.012465146399442885
Levenberg-Marquardt-40 0.0359612325 0.01220631828350082
Explicit-40 0.036311232500000006 0.012572070743123083
Levenberg-Marquardt-40 0.036311232500000006 0.012311359924265842
Explicit-40 0.0366612325 0.012678886674648658
Levenberg-Marquardt-40 0.0366612325 0.01241639543890391
Explicit-40 0.037011232500000005 0.01278546779204871
Levenberg-Marquardt-40 0.037011232500000005 0.012521222772231251
Explicit-40 0.03736123250000001 0.012891862244007884
Levenberg-Marquardt-40 0.03736123250000001 0.012625876793813
Explicit-40 0.037711232500000004 0.012998102348666685
Levenberg-Marquardt-40 0.037711232500000004 0.01273044751625093
Explicit-40 0.0380612325 0.013104208053683
Levenberg-Marquardt-40 0.0380612325 0.012834966991074625
Explicit-40 0.0384112325 0.013210188618808218
Levenberg-Marquardt-40 0.0384112325 0.012939291458310867
