Method Strike bpvol
Explicit 0.023361232500000002 0.008618828749962866
Explicit 0.023711232500000002 0.00873691521179903
Explicit 0.024061232500000005 0.008855665181667974
Explicit 0.0244112325 0.008974991623268163
Explicit 0.0247612325 0.009094816051277117
Explicit 0.025111232500000004 0.009215067737903015
Explicit 0.0254612325 0.009335682978381145
Explicit 0.025811232500000003 0.00945660441567009
Explicit 0.026161232500000003 0.009577780422948065
Explicit 0.0265112325 0.009699164541408286
Explicit 0.026861232500000002 0.009820714970167082
Explicit 0.0272112325 0.009942394104718626
Explicit 0.0275612325 0.010064168120211854
Explicit 0.0279112325 0.010186006595821515
Explicit 0.028261232500000004 0.010307882176586491
Explicit 0.028611232500000004 0.010429770269259633
Explicit 0.028961232500000003 0.01055164876892366
Explicit 0.029311232500000003 0.01067349781336157
Explicit 0.029661232500000006 0.010795299562410567
Explicit 0.030011232500000002 0.010917037999767206
Explicit 0.0303612325 0.011038698754943363
Explicit 0.030711232500000005 0.011160268943290662
Explicit 0.0310612325 0.01128173702221601
Explicit 0.031411232500000004 0.011403092661899886
Explicit 0.0317612325 0.011524326629001927
Explicit 0.0321112325 0.011645430681996196
Explicit 0.032461232500000006 0.011766397476921585
Explicit 0.0328112325 0.011887220482460705
Explicit 0.0331612325 0.01200789390337748
Explicit 0.0335112325 0.012128412611446778
Explicit 0.033861232500000005 0.012248772083102271
Explicit 0.0342112325 0.012368968343111941
Explicit 0.0345612325 0.012488997913664899
Explicit 0.0349112325 0.012608857768318407
Explicit 0.0352612325 0.012728545290313557
Explicit 0.0356112325 0.01284805823482017
Explicit 0.0359612325 0.012967394694717957
Explicit 0.036311232500000006 0.013086553069562813
Explicit 0.0366612325 0.013205532037423178
Explicit 0.037011232500000005 0.013324330529306172
Explicit 0.03736123250000001 0.01344294770591987
Explicit 0.037711232500000004 0.01356138293654697
Explicit 0.0380612325 0.013679635779825802
Explicit 0.0384112325 0.01379770596625763
LevenbergMarquardt 0.0034112325 0.006182538574291749
LevenbergMarquardt 0.0037612325 0.0061765964191066
LevenbergMarquardt 0.0041112325 0.006168936137474939
LevenbergMarquardt 0.0044612325000000005 0.006159937710462014
LevenbergMarquardt 0.0048112325 0.006149926712578084
LevenbergMarquardt 0.0051612325 0.006139189727108565
LevenbergMarquardt 0.0055112325 0.006127985224361092
LevenbergMarquardt 0.005861232500000001 0.00611655146596491
LevenbergMarquardt 0.0062112325 0.006105112391215137
LevenbergMarquardt 0.0065612325 0.006093882087627588
LevenbergMarquardt 0.0069112325 0.006083068233017396
LevenbergMarquardt 0.0072612325 0.0060728747609206666
LevenbergMarquardt 0.0076112325000000005 0.006063503912630723
LevenbergMarquardt 0.007961232500000002 0.00605515777928825
LevenbergMarquardt 0.008311232500000001 0.006048039395845126
LevenbergMarquardt 0.008661232500000001 0.006042353419209995
LevenbergMarquardt 0.0090112325 0.006038306401990708
LevenbergMarquardt 0.0093612325 0.006036106659114578
LevenbergMarquardt 0.0097112325 0.006035963716417454
LevenbergMarquardt 0.0100612325 0.006038087327904121
LevenbergMarquardt 0.010411232500000001 0.006042686052032228
LevenbergMarquardt 0.0107612325 0.0060499653874088385
LevenbergMarquardt 0.0111112325 0.006060125484888723
LevenbergMarquardt 0.0114612325 0.006073358475928291
LevenbergMarquardt 0.011811232500000001 0.006089845485108762
LevenbergMarquardt 0.0121612325 0.006109753425924737
LevenbergMarquardt 0.012511232500000002 0.006133231710081397
LevenbergMarquardt 0.0128612325 0.006160409027558022
LevenbergMarquardt 0.013211232500000001 0.006191390372988181
LevenbergMarquardt 0.013561232500000001 0.0062262544991248114
LevenbergMarquardt 0.0139112325 0.006265051967101085
LevenbergMarquardt 0.014261232500000002 0.0063078039347060156
LevenbergMarquardt 0.014611232500000002 0.006354501779458331
LevenbergMarquardt 0.0149612325 0.006405107597105431
LevenbergMarquardt 0.0153112325 0.006459555554701851
LevenbergMarquardt 0.0156612325 0.006517754018109531
LevenbergMarquardt 0.0160112325 0.006579588323754763
LevenbergMarquardt 0.016361232500000003 0.0066449240292571245
LevenbergMarquardt 0.0167112325 0.006713610460035398
LevenbergMarquardt 0.017061232500000002 0.0067854843692705035
LevenbergMarquardt 0.017411232500000002 0.006860373544255237
LevenbergMarquardt 0.0177612325 0.006938100219075817
LevenbergMarquardt 0.0181112325 0.007018484186939881
LevenbergMarquardt 0.0184612325 0.007101345540661515
LevenbergMarquardt 0.0188112325 0.0071865070030573495
LevenbergMarquardt 0.0191612325 0.007273795837704181
LevenbergMarquardt 0.0195112325 0.007363045353194021
LevenbergMarquardt 0.019861232500000003 0.007454096030439708
LevenbergMarquardt 0.020211232500000002 0.007546796312991714
LevenbergMarquardt 0.020561232500000002 0.007641003105702373
LevenbergMarquardt 0.0209112325 0.007736582028424856
LevenbergMarquardt 0.0212612325 0.007833407469877755
LevenbergMarquardt 0.021611232500000004 0.007931362483323531
LevenbergMarquardt 0.0219612325 0.008030338561119968
LevenbergMarquardt 0.0223112325 0.008130235320136162
LevenbergMarquardt 0.022661232500000003 0.008230960124932893
LevenbergMarquardt 0.023011232500000003 0.008332427670789594
LevenbergMarquardt 0.023361232500000002 0.008434559544292178
LevenbergMarquardt 0.023711232500000002 0.00853728377536774
LevenbergMarquardt 0.024061232500000005 0.00864053439138069
LevenbergMarquardt 0.0244112325 0.008744250981175598
LevenbergMarquardt 0.0247612325 0.008848378274717898
LevenbergMarquardt 0.025111232500000004 0.008952865742187757
LevenbergMarquardt 0.0254612325 0.009057667214966853
LevenbergMarquardt 0.025811232500000003 0.009162740529858339
LevenbergMarquardt 0.026161232500000003 0.00926804719704657
LevenbergMarquardt 0.0265112325 0.00937355209168195
LevenbergMarquardt 0.026861232500000002 0.009479223168527725
LevenbergMarquardt 0.0272112325 0.009585031198792195
LevenbergMarquardt 0.0275612325 0.009690949528062603
LevenbergMarquardt 0.0279112325 0.009796953854130116
LevenbergMarquardt 0.028261232500000004 0.009903022023431293
LevenbergMarquardt 0.028611232500000004 0.010009133844811322
LevenbergMarquardt 0.028961232500000003 0.010115270919328798
LevenbergMarquardt 0.029311232500000003 0.010221416484858845
LevenbergMarquardt 0.029661232500000006 0.01032755527430447
LevenbergMarquardt 0.030011232500000002 0.010433673386289416
LevenbergMarquardt 0.0303612325 0.010539758167274791
LevenbergMarquardt 0.030711232500000005 0.010645798104113344
LevenbergMarquardt 0.0310612325 0.010751782726127203
LevenbergMarquardt 0.031411232500000004 0.010857702515865215
LevenbergMarquardt 0.0317612325 0.01096354882776433
LevenbergMarquardt 0.0321112325 0.011069313814003376
LevenbergMarquardt 0.032461232500000006 0.011174990356899214
LevenbergMarquardt 0.0328112325 0.011280572007251332
LevenbergMarquardt 0.0331612325 0.011386052928094395
LevenbergMarquardt 0.0335112325 0.01149142784336616
LevenbergMarquardt 0.033861232500000005 0.01159669199104406
LevenbergMarquardt 0.0342112325 0.011701841080343571
LevenbergMarquardt 0.0345612325 0.011806871252610113
LevenbergMarquardt 0.0349112325 0.011911779045569618
LevenbergMarquardt 0.0352612325 0.012016561360634677
LevenbergMarquardt 0.0356112325 0.01212121543299095
LevenbergMarquardt 0.0359612325 0.012225738804214565
LevenbergMarquardt 0.036311232500000006 0.012330129297194363
LevenbergMarquardt 0.0366612325 0.012434384993153856
LevenbergMarquardt 0.037011232500000005 0.01253850421058701
LevenbergMarquardt 0.03736123250000001 0.01264248548593947
LevenbergMarquardt 0.037711232500000004 0.012746327555881355
LevenbergMarquardt 0.0380612325 0.012850029341033941
LevenbergMarquardt 0.0384112325 0.012953589931023139
