scheme asset expiry alpha error
BDF2-40 bnp 0.0849315068 0.3015700989013401 0.008673536287310178
BDF2-40 bnp 0.1616438356 0.3048664146174616 0.0017187905797997611
BDF2-40 bnp 0.2383561644 0.30874372779522125 0.0016659085212958114
BDF2-40 bnp 0.4904109589 0.31464041245908064 0.003115839792456427
BDF2-40 bnp 0.7479452055 0.327987904117793 0.0024503106288117573
BDF2-40 bnp 1.0 0.341078428240162 0.0038596472869241536
BDF2-40 bnp 1.495890411 0.3521377002473466 0.00460918943384998
BDF2-40 bnp 2.0 0.3620622526253688 0.0038929126475209267
BDF2-40 bnp 3.0 0.386129319873023 0.0023917475080083967
BDF2-40 bnp 4.0 0.39960042034885235 0.0015496742185829848
BDF2-40 bnp 4.997260274 0.4088017164624321 0.0010242893865024425
BDF2-40 bnp 7.002739726 0.41631907084183994 7.253697360723138E-4
BDF2-40 bnp 10.002739726 0.4215589437710812 0.0011197450021640221
BDF2-40 axa 0.0191780822 0.25893382296171835 0.039787794988005894
BDF2-40 axa 0.0849315068 0.23810392230841712 0.009832948443636537
BDF2-40 axa 0.1616438356 0.2414371412297747 0.00208302797722847
BDF2-40 axa 0.2383561644 0.24865326742432808 0.0019309278950985168
BDF2-40 axa 0.4904109589 0.25723108745887485 0.0019961945378749978
BDF2-40 axa 0.7479452055 0.2717535635507908 0.002797443632568929
BDF2-40 axa 1.0 0.28359581532798384 0.005180319187754155
BDF2-40 axa 1.495890411 0.28517962158266685 0.003389844494938386
BDF2-40 axa 2.0 0.2945354370262174 0.0024944712706902205
BDF2-40 axa 3.0 0.3058047142188806 0.0014916428072877547
BDF2-40 axa 4.0 0.3136591480490788 9.399584875419503E-4
BDF2-40 axa 4.997260274 0.32023512415987493 5.929500121299594E-4
BDF2-40 axa 7.002739726 0.33153367799725914 2.1926485706040715E-4
BDF2-40 axa 10.002739726 0.34290041696041806 7.864530513899213E-4
BDF2-40 airliq 0.0191780822 0.17652195538574086 0.026981534434064248
BDF2-40 airliq 0.0849315068 0.17414872235039025 0.008878875958179277
BDF2-40 airliq 0.1616438356 0.17555840363103428 0.002653949950280158
BDF2-40 airliq 0.2383561644 0.17826584311533694 0.0013530648647664468
BDF2-40 airliq 0.4904109589 0.18366242145986406 0.0011899741207262505
BDF2-40 airliq 0.7479452055 0.1946868070372569 0.0022993035348410846
BDF2-40 airliq 1.0 0.20267935173741244 0.002404904779481998
BDF2-40 airliq 1.495890411 0.20229766396462193 0.00284277726752509
BDF2-40 airliq 2.0 0.2111498401336246 0.002397077206319619
BDF2-40 airliq 3.0 0.22158858599422862 0.0019408291026054077
BDF2-40 airliq 4.0 0.2287896130109388 0.0017107257768848077
BDF2-40 airliq 4.997260274 0.2348639571788691 0.0015727948649712701
BDF2-40 airliq 7.002739726 0.2452791372188057 0.0014449110884037514
BDF2-40 airliq 10.002739726 0.260877114058487 0.001495084920539035
BDF2-40 bancorp 0.0191780822 0.23233453854630592 0.015599737573754735
BDF2-40 bancorp 0.0849315068 0.2216876472187062 0.0067752800682112655
BDF2-40 bancorp 0.1616438356 0.21708987114284356 0.003781833601684481
BDF2-40 bancorp 0.2383561644 0.21407398788926238 0.0027533332332253164
BDF2-40 bancorp 0.4904109589 0.2209397573523067 0.0049734503358411395
BDF2-40 bancorp 0.7479452055 0.22602053012277684 0.00761969827654838
BDF2-40 bancorp 1.0 0.2287706524865233 0.009012536601143602
BDF2-40 bancorp 1.495890411 0.23214019914244824 0.010452484697059578
BDF2-40 bancorp 2.0 0.23461063862506099 0.011208000884543481
BDF2-40 bancorp 3.0 0.23894886167474616 0.011950988453165265
BDF2-40 bancorp 4.0 0.24362580699767333 0.01230019118742882
BDF2-40 bancorp 4.997260274 0.24941780993323517 0.012479728575790352
BDF2-40 bancorp 7.002739726 0.26952278532661245 0.012586124391618861
BDF2-40 bancorp 10.002739726 0.5307526109079701 0.012519092661182837
BDF2-40 wells 0.0191780822 0.2871942886501417 0.059901891601783164
BDF2-40 wells 0.0849315068 0.25353049527670735 0.01809072835812483
BDF2-40 wells 0.1616438356 0.2463495907931864 0.006263124561911164
BDF2-40 wells 0.2383561644 0.2439808794705232 0.0034136741474854494
BDF2-40 wells 0.4904109589 0.2634856949915985 0.0035795079400362047
BDF2-40 wells 0.7479452055 0.27190245302374083 0.0035169673702748466
BDF2-40 wells 1.0 0.27627848121372284 0.0030318429222441425
BDF2-40 wells 1.495890411 0.27728363140044926 0.0027916812267130215
BDF2-40 wells 2.0 0.27904491593734665 0.0026712694968579046
BDF2-40 wells 3.0 0.2811681027619385 0.0028714652770402
BDF2-40 wells 4.0 0.28370874875839175 0.003460919163181222
BDF2-40 wells 4.997260274 0.28709618680116006 0.0039202740285764785
BDF2-40 wells 7.002739726 0.29567726327050425 0.004511800583711438
BDF2-40 wells 10.002739726 0.31272800190650557 0.004985256211813437
