guess asset expiry alpha error
DifferentialEvolution axa 1.495890411 0.28449814442590676 0.0035076645189326054
DifferentialEvolution axa 2.0 0.2938153911246573 0.0025753454863261713
DifferentialEvolution axa 3.0 0.3052004280165452 0.0015379167560348218
DifferentialEvolution axa 4.0 0.3135270800148052 9.692520011923216E-4
DifferentialEvolution axa 4.997260274 0.32104502050455247 6.117322637741935E-4
DifferentialEvolution axa 7.002739726 0.33504355924033963 2.7660917222476053E-4
DifferentialEvolution axa 10.002739726 0.3520274250687733 8.875273277720972E-4
DifferentialEvolution airliq 0.0191780822 0.17106591824261044 0.024622110573353534
DifferentialEvolution airliq 0.0849315068 0.17354932740897902 0.008404255658299779
DifferentialEvolution airliq 0.1616438356 0.17559528261838145 0.002821296539968038
DifferentialEvolution airliq 0.2383561644 0.17812719823095735 0.0013713747777454124
