guess asset expiry alpha error
LM euro50 0.1616438356 0.17840839056619207 0.003801112715671288
LM euro50 0.2383561644 0.18609529006037573 0.0023842619918204755
LM euro50 0.4904109589 0.19937821210466733 0.0024243213890886056
LM euro50 0.7479452055 0.21047711027974464 0.00272126516751393
LM euro50 0.997260274 0.21867108617492795 0.002703845369582254
LM euro50 1.495890411 0.22690118284776997 0.002545690740190732
LM euro50 1.997260274 0.23010115070411669 0.002071953180758431
LM euro50 2.997260274 0.23224377405279495 0.0015472915585595568
LM euro50 4.0 0.2334456411791215 0.00126655515679452
LM euro50 4.997260274 0.23483793703336794 0.0011431202022064056
LM euro50 7.0 0.2369648091941951 0.0010035953070055257
LM euro50 10.002739726 0.23952202235263845 9.0307224010089E-4
GN euro50 0.0191780822 0.18731241692814787 0.026538076070279106
GN euro50 0.0849315068 0.17736039298670941 0.010799835510831619
GN euro50 0.1616438356 0.17840838275977 0.0038011127156764675
GN euro50 0.2383561644 0.18609529280400983 0.0023842619918221187
GN euro50 0.4904109589 0.1993782077881337 0.0024243213891007942
GN euro50 0.7479452055 0.21047712032751636 0.0027212651675315295
GN euro50 0.997260274 0.21867106894377947 0.002703845369946741
GN euro50 1.495890411 0.22690115946688102 0.0025456907405493738
GN euro50 1.997260274 0.23010113236679497 0.002071953180810162
GN euro50 2.997260274 0.23224376748853418 0.0015472915585648859
GN euro50 4.0 0.2334456447377783 0.0012665551568030386
GN euro50 4.997260274 0.2348379473149708 0.0011431202022211978
GN euro50 7.0 0.236964833710466 0.0010035953070311205
GN euro50 10.002739726 0.23952206280108002 9.030722401325176E-4
LM msci 0.0191780822 0.2406800896272027 0.055681197640948324
LM msci 0.0849315068 0.2226784459003101 0.014321181736514477
LM msci 0.1616438356 0.22121142712884584 0.0055115737996760976
LM msci 0.2383561644 0.22399865633762728 0.014422089282745888
LM msci 0.4904109589 0.2211303388658022 0.014140676794106135
LM msci 0.7479452055 0.2382699584060149 0.009799916665460482
LM msci 1.0 0.24647330560124117 0.00785733927270665
LM msci 1.495890411 0.2336262234529675 0.00573375703192842
LM msci 2.0 0.2255363728230119 0.004486295079436604
LM msci 3.0 0.21848829332837894 0.003107153820927118
LM msci 4.0 0.2161763067492771 0.002356082056360338
LM msci 4.997260274 0.2148713770322116 0.001963093699031848
LM msci 7.002739726 0.21570707609335663 0.0017335232905886003
LM msci 10.002739726 0.22184512543100832 0.0017957537311763699
GN msci 0.0191780822 0.24032595703557633 0.055682000480880234
GN msci 0.0849315068 0.22267943871580648 0.014321181755606495
GN msci 0.1616438356 0.22121143862901269 0.0055115737996832585
GN msci 0.2383561644 0.22399742359451422 0.014422089370737374
GN msci 0.4904109589 0.22113020786602566 0.014140676846607744
GN msci 0.7479452055 0.23826642553047217 0.009799917269834339
GN msci 1.0 0.24647720762746125 0.007857339849875062
GN msci 1.495890411 0.23363823539056264 0.005733762941427909
GN msci 2.0 0.22555528455049698 0.004486309571164241
GN msci 3.0 0.218528631688225 0.003107310090993271
GN msci 4.0 0.2164427237610647 0.002504690097959124
GN msci 4.997260274 0.21481533203797154 0.0019855547994371728
GN msci 7.002739726 0.21570707756045354 0.0017335233163323714
GN msci 10.002739726 0.22184802086649003 0.001795755559717475
LM bnp 0.0191780822 0.3035331687604833 0.033539539635438306
LM bnp 0.0849315068 0.301193811529577 0.00854327404295663
LM bnp 0.1616438356 0.3045258198522707 0.0017848895712641814
LM bnp 0.2383561644 0.3083774558149037 0.00173470829594007
LM bnp 0.4904109589 0.31419501168746167 0.00316150001093432
LM bnp 0.7479452055 0.32755543328974746 0.0024674163007562693
LM bnp 1.0 0.3410848878003674 0.0038594396291217778
LM bnp 1.495890411 0.3509962983349182 0.004642198211222662
LM bnp 2.0 0.36002338624394414 0.003942262036503182
LM bnp 3.0 0.3851490482174449 0.0024021092898753793
LM bnp 4.0 0.39992855790961257 0.001551731921460284
LM bnp 4.997260274 0.41069576698091625 0.0010244778286805734
LM bnp 7.002739726 0.4186198802411384 7.261525287893518E-4
LM bnp 10.002739726 0.42389262384962034 0.0011204297218226425
GN bnp 0.0191780822 0.30351201564830893 0.03353954668304646
GN bnp 0.0849315068 0.3011937017181114 0.008543274043431855
GN bnp 0.1616438356 0.30452582002927514 0.0017848895712641514
GN bnp 0.2383561644 0.30837745597808913 0.0017347082959401087
GN bnp 0.4904109589 0.3141950007544768 0.0031615000109512675
GN bnp 0.7479452055 0.32755540334739 0.002467416301135216
GN bnp 1.0 0.3410914009328326 0.0038594414939495942
GN bnp 1.495890411 0.35099703373850005 0.004642198221314305
GN bnp 2.0 0.3600231739981773 0.0039422620376717375
GN bnp 3.0 0.3851509324775639 0.0024021093136098385
GN bnp 4.0 0.399935549012893 0.0015517324064308572
GN bnp 4.997260274 0.41072753428445685 0.0010353198792323352
GN bnp 7.002739726 0.4186198796214076 7.261525335657547E-4
GN bnp 10.002739726 0.42389262226082164 0.0011204297246939956
LM axa 0.0191780822 0.25355764960419774 0.037499630164017306
LM axa 0.0849315068 0.237880631521094 0.009537751320055335
LM axa 0.1616438356 0.24124159710718387 0.0020941831261601434
