Method Strike Price Black Normal
NormalAB 0.5375 0.07002480797355146 0.5651131197020508 0.41008848039741846
PDE 0.557 0.06761570345136726 0.5329367008389307 0.3941203053009219
Lognormal 0.557 0.07478388984524831 0.557398450679098 0.41131570090065156
Normal 0.557 0.07688197466005403 0.5644747022255007 0.41626842027073013
LognormalAB 0.557 0.07193241850391324 0.5477234590821058 0.4045283477943315
NormalAB 0.557 0.07334416363280258 0.5525221286447287 0.4078970475900725
PDE 0.5765 0.07128135902464894 0.5223465740959083 0.39271112734870706
Lognormal 0.5765 0.07792230192240673 0.5440819490241963 0.40827963138333107
Normal 0.5765 0.07989758056837597 0.5504836134015926 0.4128476692809841
LognormalAB 0.5765 0.0754529425326119 0.5360400365715345 0.40252991528862136
NormalAB 0.5765 0.0768510964479552 0.5405988699555936 0.40579086809557846
PDE 0.5960000000000001 0.07512799860472223 0.5122293995901905 0.3913189246614562
Lognormal 0.5960000000000001 0.08124335373713679 0.5314495926391516 0.4053377875566032
Normal 0.5960000000000001 0.08310399376364558 0.5372499961440068 0.40955460145136346
LognormalAB 0.5960000000000001 0.07917371644188859 0.5249727457275042 0.40062154190945015
NormalAB 0.5960000000000001 0.08055936166176167 0.5293120472809009 0.4037821816002992
PDE 0.6155 0.07917077651214326 0.5025767462385233 0.3899627812202513
Lognormal 0.6155 0.08476474883228044 0.5194806478412707 0.4025101845513206
Normal 0.6155 0.08651866891632552 0.5247454400665662 0.40640699458090723
LognormalAB 0.6155 0.08310938439667873 0.5144969049563681 0.3988164928975967
NormalAB 0.6155 0.0844834762134138 0.518634865268984 0.40188366929745256
PDE 0.635 0.08342576431640224 0.4933822620876375 0.3886620088961346
Lognormal 0.635 0.08850560360310028 0.5081589225210568 0.3998179543032001
Normal 0.635 0.0901605248019476 0.5129471051574488 0.4034239900847571
LognormalAB 0.635 0.08727531711420769 0.5045914484969569 0.397128397520173
NormalAB 0.635 0.08863868571617622 0.5085444125624382 0.40010843399668267
PDE 0.6545 0.08791008154410332 0.48464188341295267 0.3874365235527598
Lognormal 0.6545 0.09248647356853562 0.4974722761073008 0.3972833859998289
Normal 0.6545 0.09404996600791334 0.5018370746514874 0.4006261049003393
LognormalAB 0.6545 0.0916875538753753 0.4952384165498793 0.3955712120298527
NormalAB 0.6545 0.09304090417667288 0.49902110677284905 0.3984699523987697
PDE 0.674 0.09264170581124784 0.47635315646424037 0.38630652832274426
Lognormal 0.674 0.09672933476044307 0.4874121388065565 0.39492991095023156
Normal 0.674 0.0982088598427303 0.4914017444884782 0.39803519157439865
LognormalAB 0.674 0.09636271213579004 0.48642248074854083 0.3941591499490252
NormalAB 0.674 0.097706621670931 0.4900481829716209 0.39698199627590625
PDE 0.6935 0.09763942577015679 0.4685151080319561 0.3852925693320278
Lognormal 0.6935 0.10125750550378282 0.4779730148511412 0.39278201731718687
Normal 0.6935 0.1026604534608363 0.4816312184127652 0.39567433112586026
LognormalAB 0.6935 0.10131786034082918 0.478130492473827 0.3929065772402373
NormalAB 0.6935 0.10265277567164104 0.4816112117332377 0.3956585199929617
PDE 0.713 0.10292267215938856 0.46112787335702393 0.3844153762757144
Lognormal 0.713 0.10609549240152039 0.4691519467985752 0.39086507894887823
Normal 0.713 0.10742921476309854 0.47251868130664915 0.39356764220065976
LognormalAB 0.713 0.1065703506096572 0.47035104544727174 0.3918278711584382
NormalAB 0.713 0.10789658282164655 0.4736976371063212 0.3945135131407931
PDE 0.7325 0.10851137869241242 0.4541925125931706 0.3836958216364315
Lognormal 0.7325 0.1112687442118247 0.46094792158649733 0.38920508298043716
Normal 0.7325 0.1125405805254579 0.464059727956305 0.3917399905777206
LognormalAB 0.7325 0.1121376097501304 0.4630740480814454 0.39093724351427034
NormalAB 0.7325 0.1134553297758777 0.46629632923211783 0.3935608190655018
PDE 0.7520000000000001 0.11442555929187798 0.44771023170341107 0.3831543669235953
Lognormal 0.7520000000000001 0.11680329931353647 0.45336120493628546 0.3878282437782201
Normal 0.7520000000000001 0.11802059725739247 0.4562516310846891 0.3902165860950709
LognormalAB 0.7520000000000001 0.1180368896250131 0.4562903051891979 0.39024853163671874
NormalAB 0.7520000000000001 0.1193461243026533 0.4593971506570918 0.3928139226827632
PDE 0.7715 0.12068513502007187 0.441682359485092 0.38281108415485476
Lognormal 0.7715 0.12272531743883777 0.44639259955261634 0.38676049698935433
Normal 0.7715 0.12389544534761797 0.4490925419506436 0.3890224603732674
LognormalAB 0.7715 0.12428498109492897 0.4499911126239091 0.3897749632707154
NormalAB 0.7715 0.1255856110178528 0.45299053946583845 0.3922857139122333
PDE 0.791 0.12730945543714614 0.43610967683879664 0.3826851213454784
Lognormal 0.791 0.12906049496433644 0.4400426347154095 0.38602687748420483
Normal 0.791 0.13019084577866027 0.4425806294816192 0.38818182887723696
LognormalAB 0.791 0.13089789932509002 0.4441678718293604 0.38952890456836375
NormalAB 0.791 0.13218965961985968 0.44706711578000796 0.391988235926798
PDE 0.8105 0.13431684382684084 0.4309919297934425 0.3827942786878606
Lognormal 0.8105 0.13583337543247775 0.43431070988595244 0.38565079875719244
Normal 0.8105 0.13693136122446228 0.43671317938745224 0.38771735479777836
LognormalAB 0.8105 0.13789055170739656 0.4388117336171963 0.38952160269737196
NormalAB 0.8105 0.13917303683893406 0.4416173204312269 0.39193242964370534
PDE 0.8300000000000001 0.1417241147214285 0.4263273637470173 0.3831545701683609
