model asset expiry sigma error
SABR-1 euro50 10.002739726 0.24062439402513314 9.988896160434534E-4
SABR-1 msci 0.0191780822 0.24068849798182937 0.0556835692358704
SABR-1 msci 0.0849315068 0.22270744375224433 0.014348771398810805
SABR-1 msci 0.1616438356 0.2212349734320009 0.005562877339545891
SABR-1 msci 0.2383561644 0.22401666724350233 0.014461831226006937
SABR-1 msci 0.4904109589 0.22113475617272035 0.014215165443066665
SABR-1 msci 0.7479452055 1.8785568001205895 0.009971878507408678
SABR-1 msci 1.0 0.24653548389809055 0.007906029990296904
SABR-1 msci 1.495890411 0.23370698079585595 0.005773634857134244
SABR-1 msci 2.0 0.22564070028096986 0.004520799633045248
SABR-1 msci 3.0 0.21866203161541145 0.003134963060891202
SABR-1 msci 4.0 0.21617026849562218 0.0023857477899084795
SABR-1 msci 4.997260274 0.2148933306272657 0.0020215771477155925
SABR-1 msci 7.002739726 0.21583639118812148 0.001843946253893644
SABR-1 msci 10.002739726 0.22240880716928615 0.001959799185894481
SABR-1 bnp 0.0191780822 0.30354092428213203 0.03354512565210884
SABR-1 bnp 0.0849315068 0.301217672442781 0.008586523190315075
SABR-1 bnp 0.1616438356 0.3045520867416535 0.0018243921945151511
SABR-1 bnp 0.2383561644 0.30840092119591583 0.0017998309479134126
SABR-1 bnp 0.4904109589 0.31422892919089535 0.0032424097361394696
SABR-1 bnp 0.7479452055 2.139191249381469 0.0026616374696933074
SABR-1 bnp 1.0 0.3412540901204296 0.003907798311623239
SABR-1 bnp 1.495890411 0.35140314868935046 0.004742859004656523
SABR-1 bnp 2.0 1.2267996519115802 0.004132451430388448
SABR-1 bnp 3.0 0.38656481478864096 0.002459766519792256
SABR-1 bnp 4.0 0.4020773579268092 0.0015780065110355568
SABR-1 bnp 4.997260274 0.9900418060669034 0.0010665589534002116
SABR-1 bnp 7.002739726 0.4222134184167972 7.936308024073914E-4
SABR-1 bnp 10.002739726 0.4309630334243049 0.0011805310865038846
SABR-1 axa 0.0191780822 0.25356586627491523 0.03750248711964829
SABR-1 axa 0.0849315068 0.2379059133908794 0.009562246296504819
SABR-1 axa 0.1616438356 0.2412799540198448 0.002142425997951132
SABR-1 axa 0.2383561644 0.2485101097545877 0.0020396977614437
SABR-1 axa 0.4904109589 0.25690939722156864 0.0021236427323753533
SABR-1 axa 0.7479452055 2.2942040617078945 0.003204939081885828
SABR-1 axa 1.0 0.28328331391698824 0.0052578121119611744
SABR-1 axa 1.495890411 0.28450029564436186 0.0035079109417165996
SABR-1 axa 2.0 0.29381787473465804 0.0025759071069736093
SABR-1 axa 3.0 0.30520650864339116 0.0015386375063230634
SABR-1 axa 4.0 0.31353949756734506 9.701323121974739E-4
SABR-1 axa 4.997260274 0.321067919454509 6.127852836237174E-4
SABR-1 axa 7.002739726 0.3350198791958931 2.8352791345574713E-4
SABR-1 axa 10.002739726 0.35195096971486883 9.013021201313854E-4
SABR-1 airliq 0.0191780822 0.17106732955395226 0.024624785181657463
SABR-1 airliq 0.0849315068 0.1735618143627158 0.008415669445451973
SABR-1 airliq 0.1616438356 0.1756414487734092 0.002835614765217185
SABR-1 airliq 0.2383561644 0.1781861086975112 0.0013985790205554647
SABR-1 airliq 0.4904109589 0.18352295828772075 0.0012218199166765201
SABR-1 airliq 0.7479452055 0.19453945761466404 0.0023331915262432682
SABR-1 airliq 1.0 0.2025398977934176 0.0024368611634053503
SABR-1 airliq 1.495890411 0.2020785989728897 0.002903691199761097
SABR-1 airliq 2.0 0.21097182409451665 0.0024495527554268415
SABR-1 airliq 3.0 0.22166154596336174 0.001985115662480886
SABR-1 airliq 4.0 0.22943419734579912 0.0017513036028584674
SABR-1 airliq 4.997260274 0.23654308572808277 0.0016115286063527895
SABR-1 airliq 7.002739726 0.24918655126631017 0.001539208030519439
SABR-1 airliq 10.002739726 0.4089617166645669 0.0017127903812465507
SABR-1 bancorp 0.0191780822 0.22885945515602318 0.013333192873822144
SABR-1 bancorp 0.0849315068 0.22181859053359362 0.007108269153714724
SABR-1 bancorp 0.1616438356 0.2171821897754212 0.0037393439917557066
SABR-1 bancorp 0.2383561644 0.214429529517527 0.002708797232466392
SABR-1 bancorp 0.4904109589 0.22120764635520496 0.005152488593346192
SABR-1 bancorp 0.7479452055 0.22603889345689412 0.007826487842135577
SABR-1 bancorp 1.0 0.2285743966203573 0.009233655800417684
SABR-1 bancorp 1.495890411 0.23149728806281128 0.010701978295610065
SABR-1 bancorp 2.0 0.23343225947396 0.011490159509216
SABR-1 bancorp 3.0 0.23633418590589975 0.012307772021309471
SABR-1 bancorp 4.0 0.23887012541559727 0.012744074518402653
SABR-1 bancorp 4.997260274 0.24137423489388002 0.013023387561386589
SABR-1 bancorp 7.002739726 0.2468492669408715 0.013372335630965862
SABR-1 bancorp 10.002739726 0.25725488334654045 0.013687205453473598
SABR-1 wells 0.0191780822 0.2817008514724273 0.05922081194091044
SABR-1 wells 0.0849315068 0.25403872520816023 0.018120850663408954
SABR-1 wells 0.1616438356 0.24642048360538524 0.006412659882631827
SABR-1 wells 0.2383561644 0.2440715326613671 0.003580713053572233
SABR-1 wells 0.4904109589 0.2630261119261025 0.0037455792312623285
SABR-1 wells 0.7479452055 0.27153333265794666 0.003626956302923469
SABR-1 wells 1.0 0.275957565505477 0.003123858944042261
SABR-1 wells 1.495890411 0.277304821589951 0.0028493670439862836
SABR-1 wells 2.0 0.2796292590560127 0.002707803469674892
SABR-1 wells 3.0 0.2822242404698375 0.0029637117040019023
SABR-1 wells 4.0 0.28552679217035754 0.0035932211212766846
SABR-1 wells 4.997260274 0.2900482773076553 0.004080016613686666
SABR-1 wells 7.002739726 0.30293961245951884 0.0047196987174549536
SABR-1 wells 10.002739726 0.34868989402811906 0.005267421649809183
SABR-1 dell 0.0191780822 0.29047314279690406 0.05222082404493977
SABR-1 dell 0.0849315068 0.33174711000046475 0.019732990054298273
SABR-1 dell 0.1616438356 0.343081976165711 0.008068975176870939
SABR-1 dell 0.2383561644 0.3471522729791954 0.0030918630292748736
SABR-1 dell 0.4904109589 4.999984549657308 0.01905191388952683
SABR-1 dell 0.7479452055 4.999999999340511 0.007014157002391681
SABR-1 dell 1.0 0.3594767900454182 5.577236627882882E-4
SABR-1 dell 1.495890411 2.706929491649232 0.0011550944937730716
SABR-1 dell 2.0 0.3850483488688106 0.0012356696166476995
SABR-1 dell 3.0 0.39597900777398476 0.0015101927299685336
SABR-1 dell 4.0 0.40357380030308304 0.0016567637051184754
SABR-1 dell 4.997260274 0.4101920888048216 0.0017556328708763455
SABR-1 dell 7.002739726 0.42370893337058513 0.0018867954246328778
SABR-1 dell 10.002739726 0.45167491637061546 0.002016664905215075
Shifted-SABR-1 1 0.057534247 0.26513772946059977 7.003464542715035E-5
Shifted-SABR-1 1 0.153424658 0.2517191076983228 6.28974708378709E-5
Shifted-SABR-1 1 0.230136986 0.2531527238730743 4.3323940651602426E-5
Shifted-SABR-1 1 0.479452055 0.2522839899077249 3.458539032461471E-5
Shifted-SABR-1 1 0.728767123 0.25628952917599873 1.7292798235065337E-5
Shifted-SABR-1 1 1.22739726 0.26068010549033666 1.222890995004684E-5
Shifted-SABR-1 1 1.726027397 0.2623204947162383 8.783338086632255E-6
Shifted-SABR-1 1 2.243835616 0.26403838683300457 6.740029566546452E-6
Shifted-SABR-1 1 2.742465753 0.26428057366127083 5.61353381186127E-6
Shifted-SABR-1 1 3.24109589 0.2654595216632764 4.794861315293908E-6
Shifted-SABR-1 1 4.238356164 0.2672546728936979 3.740033299338648E-6
Shifted-SABR-1 sp500 0.0191780822 0.34102545170351595 0.011709621413368697
Shifted-SABR-1 sp500 0.0849315068 0.307966772896194 0.0042658244738317955
Shifted-SABR-1 sp500 0.1616438356 0.28306101855525284 0.004381572129874497
Shifted-SABR-1 sp500 0.2383561644 0.2979643035393343 0.005090360899159525
Shifted-SABR-1 sp500 0.4904109589 0.33667836208133367 0.0037633329319967136
Shifted-SABR-1 sp500 0.7479452055 0.3594362595103483 0.00215585939432898
Shifted-SABR-1 sp500 1.0 0.37116489348376897 0.0011242488028576489
Shifted-SABR-1 sp500 1.495890411 0.36543074771293244 7.931164537335275E-4
Shifted-SABR-1 sp500 2.0 0.3579412010400122 7.717193019988885E-4
Shifted-SABR-1 sp500 3.0 0.38532687606232047 5.261052078173289E-4
