nu K black
High 3544.64 0.23735235935182894
Low 3584.92 0.23753167629217467
High 3584.92 0.23723994213890343
Low 3625.2000000000003 0.23754345460366647
High 3625.2000000000003 0.23714207798788156
Low 3665.48 0.23757033171615238
High 3665.48 0.23705827012715325
Low 3705.76 0.2376116659357057
High 3705.76 0.2369880365208031
Low 3746.0400000000004 0.23766683821966933
High 3746.0400000000004 0.23693090955567236
Low 3786.3199999999997 0.2377352516930181
High 3786.3199999999997 0.2368864357289946
Low 3826.6 0.23781633114327613
High 3826.6 0.23685417533610484
Low 3866.8799999999997 0.2379095224975654
High 3866.8799999999997 0.23683370215856667
Low 3907.16 0.23801429228519347
High 3907.16 0.2368246031525529
Low 3947.44 0.23813012708899098
High 3947.44 0.23682647813794602
Low 3987.72 0.23825653298839936
High 3987.72 0.23683893948815732
Low 4028.0 0.23839303499710104
High 4028.0 0.23686161182112614
Low 4068.28 0.2385391764977519
High 4068.28 0.23689413169177773
Low 4108.56 0.23869451867615946
High 4108.56 0.2369361472862017
Low 4148.84 0.23885863995703646
High 4148.84 0.23698731811802068
Low 4189.12 0.2390311354432329
High 4189.12 0.237047314727188
Low 4229.400000000001 0.2392116163601581
High 4229.400000000001 0.2371158183816489
Low 4269.68 0.23939970950689884
High 4269.68 0.23719252078212905
Low 4309.959999999999 0.2395950567153558
High 4309.959999999999 0.23727712377044244
Low 4350.240000000001 0.23979731431854612
High 4350.240000000001 0.23736933904155444
Low 4390.5199999999995 0.24000615262905553
High 4390.5199999999995 0.2374688878597454
Low 4430.8 0.24022125542846992
High 4430.8 0.23757550077908654
Low 4471.08 0.2404423194684812
High 4471.08 0.2376889173685583
Low 4511.360000000001 0.24066905398422672
High 4511.360000000001 0.2378088859418836
Low 4551.639999999999 0.24090118022030904
High 4551.639999999999 0.23793516329242848
Low 4591.92 0.24113843096983895
High 4591.92 0.23806751443323054
Low 4632.2 0.24138055012673912
High 4632.2 0.23820571234233578
Low 4672.4800000000005 0.24162729225147142
High 4672.4800000000005 0.2383495377136182
Low 4712.759999999999 0.24187842215026611
High 4712.759999999999 0.23849877871306888
Low 4753.040000000001 0.24213371446786772
High 4753.040000000001 0.23865323074075157
Low 4793.32 0.24239295329374824
High 4793.32 0.2388126961984267
Low 4833.599999999999 0.24265593178169184
High 4833.599999999999 0.23897698426288716
Low 4873.88 0.24292245178260327
High 4873.88 0.23914591066504645
Low 4914.16 0.2431923234903585
High 4914.16 0.23931929747476294
Low 4954.44 0.24346536510047817
High 4954.44 0.23949697289142474
Low 4994.72 0.24374140248138063
High 4994.72 0.23967877104024662
Low 5035.0 0.2440202688579435
High 5035.0 0.2398645317742274
